community,,start,end
10_12,0,41910000.0,48050000.0
10_15,0,47670000.0,50100000.0
10_20,0,63835000.0,68995000.0
10_22,0,73195000.0,75245000.0
10_23,0,70895000.0,73190000.0
10_24,0,75250000.0,78020000.0
10_28,0,84145000.0,87395000.0
10_29,0,94525000.0,97395000.0
10_31,0,91955000.0,94815000.0
10_33,0,103345000.0,106195000.0
10_41,0,125765000.0,130180000.0
11_12,0,45855000.0,47830000.0
11_13,0,47835000.0,50815000.0
11_2,0,7880000.0,10745000.0
11_24,0,71850000.0,74185000.0
11_5,0,17210000.0,19020000.0
13_10,0,25005000.0,28290000.0
14_20,0,74075000.0,75660000.0
14_29,0,99495000.0,101685000.0
14_3,0,22925000.0,24460000.0
14_9,0,45280000.0,49605000.0
15_17,0,19795000.0,28765000.0
15_18,0,28305000.0,30570000.0
15_2,0,59685000.0,61850000.0
15_20,0,32250000.0,34950000.0
15_26,0,41455000.0,43715000.0
15_32,0,56450000.0,59680000.0
15_34,0,64100000.0,66890000.0
15_40,0,78880000.0,82495000.0
15_43,0,84170000.0,85185000.0
15_49,0,94150000.0,98430000.0
16_10,0,24975000.0,27470000.0
16_11,0,27475000.0,29590000.0
16_12,0,29390000.0,33030000.0
16_13,0,31950000.0,33335000.0
16_13,1,33335000.0,36335000.0
16_26,0,48645000.0,50060000.0
16_27,0,53460000.0,56940000.0
16_31,0,66885000.0,68230000.0
16_32,0,68235000.0,70220000.0
16_6,0,16350000.0,18770000.0
16_8,0,21500000.0,21890000.0
16_8,1,22535000.0,24970000.0
16_9,0,18220000.0,22435000.0
17_13,0,28585000.0,30860000.0
17_14,0,30640000.0,31935000.0
17_15,0,31940000.0,36515000.0
17_22,0,46310000.0,48905000.0
17_25,0,56810000.0,58490000.0
17_9,0,18810000.0,23015000.0
18_22,0,20585000.0,24130000.0
18_25,0,26180000.0,30945000.0
18_28,0,36910000.0,42005000.0
18_5,0,12965000.0,15785000.0
19_16,0,34435000.0,36700000.0
19_20,0,41865000.0,44505000.0
1_11,0,32390000.0,35820000.0
1_13,0,40470000.0,46245000.0
1_14,0,46250000.0,51800000.0
1_15,0,51675000.0,54870000.0
1_17,0,59840000.0,66730000.0
1_18,0,66735000.0,78805000.0
1_2,0,610000.0,7950000.0
1_20,0,78775000.0,88890000.0
1_21,0,88895000.0,95240000.0
1_23,0,108205000.0,113735000.0
1_25,0,113500000.0,121620000.0
1_28,0,144410000.0,149815000.0
1_3,0,7955000.0,12080000.0
1_33,0,153315000.0,156930000.0
1_34,0,156935000.0,161665000.0
1_38,0,180510000.0,186470000.0
1_39,0,186460000.0,200605000.0
1_4,0,12085000.0,15520000.0
1_40,0,200550000.0,202865000.0
1_41,0,202870000.0,206390000.0
1_42,0,206150000.0,213100000.0
1_43,0,213105000.0,222660000.0
1_45,0,228620000.0,236065000.0
1_7,0,15525000.0,19205000.0
1_8,0,19210000.0,25300000.0
21_43,0,17645000.0,20985000.0
21_58,0,44105000.0,45960000.0
21_59,0,42135000.0,43425000.0
21_9,0,8535000.0,10810000.0
22_40,0,15475000.0,18860000.0
22_41,0,18655000.0,20130000.0
2_15,0,75690000.0,85020000.0
2_26,0,93775000.0,97605000.0
2_29,0,97195000.0,102720000.0
2_30,0,102725000.0,110620000.0
2_31,0,109760000.0,113565000.0
2_32,0,113420000.0,121785000.0
2_33,0,121780000.0,130410000.0
2_34,0,130015000.0,136385000.0
2_8,0,43595000.0,48590000.0
3_21,0,107160000.0,113955000.0
3_4,0,19040000.0,28430000.0
4_16,0,78930000.0,85020000.0
4_18,0,84980000.0,90390000.0
4_20,0,107990000.0,112065000.0
4_23,0,121835000.0,129280000.0
4_24,0,129185000.0,139005000.0
4_30,0,165100000.0,174325000.0
4_31,0,174330000.0,183440000.0
4_5,0,17690000.0,25380000.0
4_8,0,41935000.0,49315000.0
5_12,0,50155000.0,55160000.0
5_13,0,55165000.0,62405000.0
5_14,0,62410000.0,70135000.0
5_15,0,70860000.0,77610000.0
5_17,0,82305000.0,87385000.0
5_18,0,87390000.0,94945000.0
5_27,0,137970000.0,140730000.0
5_30,0,149280000.0,151770000.0
5_6,0,31535000.0,34950000.0
5_7,0,34955000.0,38980000.0
5_8,0,38985000.0,46515000.0
6_11,0,38790000.0,41320000.0
6_12,0,41325000.0,44410000.0
6_13,0,44415000.0,52055000.0
6_18,0,60230000.0,70185000.0
6_28,0,116685000.0,123335000.0
6_8,0,30405000.0,33270000.0
7_10,0,43985000.0,49980000.0
7_15,0,40090000.0,43980000.0
7_20,0,61730000.0,67165000.0
7_21,0,67015000.0,73180000.0
7_22,0,72880000.0,77150000.0
7_23,0,76470000.0,87240000.0
7_25,0,92495000.0,98270000.0
7_26,0,98275000.0,99430000.0
7_27,0,99435000.0,102770000.0
7_29,0,102550000.0,108585000.0
7_32,0,121120000.0,127540000.0
7_33,0,127545000.0,130045000.0
7_35,0,134615000.0,139080000.0
7_37,0,141750000.0,144270000.0
7_39,0,149110000.0,152825000.0
7_7,0,30105000.0,32680000.0
