community,,start,end
10_1033,0,110445000.0,116665000.0
10_1084,0,113440000.0,119410000.0
10_1112,0,10590000.0,20100000.0
10_1160,0,116175000.0,126015000.0
10_118,0,122525000.0,125800000.0
10_1214,0,108035000.0,110235000.0
10_145,0,7660000.0,14405000.0
10_145,1,14945000.0,17910000.0
10_154,0,31405000.0,38975000.0
10_230,0,68165000.0,73835000.0
10_247,0,20015000.0,23635000.0
10_247,1,25290000.0,30175000.0
10_248,0,15085000.0,27345000.0
10_419,0,43420000.0,49630000.0
10_419,1,50175000.0,53400000.0
10_434,0,47935000.0,51925000.0
10_436,0,72650000.0,78245000.0
10_452,0,76965000.0,83720000.0
10_452,1,84550000.0,88660000.0
10_455,0,44925000.0,48645000.0
10_455,1,49780000.0,53035000.0
10_565,0,60225000.0,70135000.0
10_73,0,121370000.0,122760000.0
10_754,0,71065000.0,72490000.0
10_755,0,53190000.0,57205000.0
10_757,0,70005000.0,76000000.0
10_778,0,122090000.0,128365000.0
10_814,0,88905000.0,96785000.0
10_831,0,83780000.0,85735000.0
10_899,0,80350000.0,82945000.0
10_899,1,85160000.0,92855000.0
10_902,0,90650000.0,94240000.0
10_931,0,95355000.0,98770000.0
10_951,0,97350000.0,99555000.0
10_959,0,98045000.0,101505000.0
10_961,0,27590000.0,34885000.0
10_974,0,94160000.0,107590000.0
11_1030,0,86950000.0,88685000.0
11_1105,0,93450000.0,98650000.0
11_1128,0,82315000.0,84500000.0
11_1201,0,12545000.0,15725000.0
11_1205,0,100135000.0,102965000.0
11_1335,0,108575000.0,111035000.0
11_1347,0,106570000.0,109575000.0
11_1347,1,109575000.0,114615000.0
11_1354,0,103515000.0,109975000.0
11_1371,0,115170000.0,117780000.0
11_1384,0,116425000.0,119995000.0
11_1384,1,121880000.0,128215000.0
11_1389,0,61535000.0,72395000.0
11_1390,0,118835000.0,124905000.0
11_1422,0,124110000.0,130185000.0
11_1422,1,130580000.0,134340000.0
11_1423,0,119135000.0,120395000.0
11_1463,0,59665000.0,61970000.0
11_187,0,14720000.0,21350000.0
11_245,0,18300000.0,20955000.0
11_347,0,25990000.0,28815000.0
11_347,1,28815000.0,37365000.0
11_347,2,44170000.0,47010000.0
11_403,0,91840000.0,95205000.0
11_525,0,132215000.0,134460000.0
11_592,0,123140000.0,128200000.0
11_595,0,42745000.0,48445000.0
11_72,0,77025000.0,78545000.0
11_772,0,61415000.0,64515000.0
11_787,0,95385000.0,97450000.0
11_841,0,131510000.0,132945000.0
11_881,0,61105000.0,62305000.0
11_882,0,66770000.0,79430000.0
11_96,0,5945000.0,16575000.0
11_964,0,55340000.0,61240000.0
11_966,0,83585000.0,87205000.0
12_1152,0,84030000.0,101740000.0
12_1169,0,103535000.0,108775000.0
12_1197,0,97015000.0,100315000.0
12_1197,1,100315000.0,105075000.0
